table_name,column_name,column_value
imax_case_line,SVMXC__Product_Text__c,PIC iX Hardware
imax_case_line,SVMXC__Quantity__c,67
imax_case_line,SVMXC__Route_Card__c,
imax_case_line,SVMXC__Serial_Number_List__c,ZN94400038
ipsa_account,MP1_Customer_ID__c,MI040
imax_case_line,SVMXC__Service_Contract__c,
imax_case_line,SVMXC__Service_Contract_End_Date__c,
imax_case_line,SVMXC__Service_Contract_Exchange_Type__c,
imax_case_line,SVMXC__Service_Contract_Line__c,
imax_case_line,SVMXC__Service_Contract_Start_Date__c,
imax_case_line,SVMXC__Summary__c,unit not available-DE57625214
imax_case_line,SVMXC__Warranty__c,
imax_case_line,SVMXC__Warranty_End_Date__c,8/22/13 00:00
imax_case_line,SVMXC__Warranty_Exchange_Type__c,
imax_case_line,SVMXC__Warranty_Start_Date__c,2/25/24 00:00
imax_contract_header,Billing_Plan_Type__c,Periodic
imax_contract_header,ESMX_Account__c,001E000001XsEHhIAN
imax_contract_header,ESMX_Account_Promo_Code__c,WREX
imax_contract_header,ESMX_All_Line_Items__c,
imax_contract_header,ESMX_Bill_To__c,001E000001XsBm3IAF
imax_contract_header,ESMX_Bill_To_Account_Number__c,0940000236
imax_contract_header,ESMX_Billing_Currency__c,ZAR
imax_contract_header,ESMX_Billing_Schedule__c,Three times a year
imax_contract_header,ESMX_Collective_reference_number_code__c,xxTESTbyac
imax_contract_header,ESMX_Corporate_Account_Codes__c,VIZNT
imax_contract_header,ESMX_Credit_Memo_Request_Number__c,
imax_contract_header,ESMX_Customer_Purchase_Order_Number__c, P413278 - 43219344
imax_contract_header,ESMX_Debit_Memo_Request_Number__c,
imax_contract_header,ESMX_Default_For_Country__c,Vietnam
imax_contract_header,ESMX_End_Date__c,1/1/00 00:00
imax_contract_header,ESMX_External_Notes__c, BI
imax_contract_header,ESMX_Internal_Notes__c, V413371/ 2017-064-MS99 RESAH 2017-064
imax_contract_header,ESMX_Invoice_text__c,INVOICE_TEXT_PL93
imax_contract_header,ESMX_Location__c,a3mE0000000Xdh3IAC
imax_contract_header,ESMX_Payer__c,001E000001XsBm3IAF
imax_contract_header,ESMX_Payer_Account_Number__c,0940000236
imax_contract_header,ESMX_Payment_Terms__c,ZSA1 - 30 dias fecha factura
imax_contract_header,ESMX_Payment_Terms_Country__c,Vietnam
imax_contract_header,ESMX_SAP_Billing_Block__c,04
imax_contract_header,ESMX_SAP_Contract_Type__c,ZCSP
imax_contract_header,ESMX_SAP_Currency__c,ZAR
imax_contract_header,ESMX_SAP_Distribution_Channel__c,ZA
imax_contract_header,ESMX_SAP_Division__c,PH
imax_contract_header,ESMX_SAP_External_ID__c,US40011102
imax_contract_header,ESMX_SAP_Payment_Terms__c,ZSA1
imax_contract_header,ESMX_SAP_Sales_Org__c,ZA94
imax_contract_header,ESMX_SAP_WBS_Element__c,
imax_contract_header,ESMX_ServiceMax_External_ID__c,99999
imax_contract_header,ESMX_Ship_To_Account__c,001E000001XsEHh
imax_contract_header,ESMX_Ship_To_Account_Number__c,0940000293
imax_contract_header,ESMX_Sold_To_Account_Number__c,0940000236
imax_contract_header,ESMX_Start_Date__c,1/1/00 00:00
imax_contract_header,ESMX_Total_Price__c,70445056288
imax_contract_header,NewHeader__c,a4D4W000002BzwRUAS
imax_contract_header,Rec,
imax_service_contract,Additional_PM_Visits__c,384
imax_service_contract,CPL_ContractHeader_Name__c,CH-99999
imax_service_contract,ESMX_Account_Number__c,0940000236
imax_service_contract,ESMX_Account_Promo_Code__c,WREX
imax_service_contract,ESMX_Activation_Type__c,Manual Activation
imax_service_contract,ESMX_Active_Duplicate_PM_Text__c,WW
imax_service_contract,ESMX_Alert_Message__c,PM Template is Missing
imax_service_contract,ESMX_Auto_Renewal_Step__c,SAP
imax_service_contract,ESMX_Bill_To__c,001E000001XsBm3IAF
imax_service_contract,ESMX_Bill_To_Account_Number__c,0940000236
imax_service_contract,ESMX_Billing_End_Date__c,1/1/00 00:00
imax_service_contract,ESMX_Billing_Plan_Type__c,Perodic
imax_service_contract,ESMX_Billing_Start_Date__c,1/1/00 00:00
imax_service_contract,ESMX_Business_Group_Excluded__c,
imax_service_contract,ESMX_Business_Group_Included__c,TC-Therapeutic Care
imax_service_contract,ESMX_CH_CON_SAP_External_ID__c,MX999
imax_service_contract,ESMX_Collective_reference_number_code__c,Z124-2016
imax_service_contract,ESMX_Cont_Criteria_UpdatedDate__c,12/5/22 00:00
imax_service_contract,ESMX_Contract_Bill_To__c,Zwanger-Pesiri Radiology Group LLC-0094246975
imax_service_contract,ESMX_Contract_Header__c,a4DE0000000btUXMAY
imax_service_contract,ESMX_Contract_Header_SAP_External_ID__c,US40011102
imax_service_contract,ESMX_Contract_Number__c,CON0767315
imax_service_contract,ESMX_Contract_Number_12Digit__c,00000-401-10
imax_service_contract,ESMX_Contract_Payer__c,Zwanger-Pesiri Radiology Group LLC-0094246975
imax_service_contract,ESMX_Contract_Ship_to__c,ZYDUS HOSPITAL & HEALTHCARE-0094502018
imax_service_contract,ESMX_Contract_Sold_To__c,ZYDUS HOSPITAL & HEALTHCARE-0094502018
imax_service_contract,ESMX_Corporate_Account_Codes__c,VIZNT
imax_service_contract,ESMX_Corresponding_Business_hours__c,
imax_service_contract,ESMX_Count_of_billing_plan_lines__c,128
imax_service_contract,ESMX_CSR_Service_Plan__c,Value US NL
imax_service_contract,ESMX_Customer_Purchase_Order_Number__c, P413278 - 43219344
imax_service_contract,ESMX_Default_renewal_start_date__c,1/2/00 00:00
imax_service_contract,ESMX_Duplicate_PM_Template_Count__c,696
imax_service_contract,ESMX_Eligible_Covered_Products__c,91758
imax_service_contract,ESMX_End_Date_Rule__c,96-Contract Item End Date
imax_service_contract,ESMX_External_Notes__c, EC_LSCP
imax_service_contract,ESMX_First_IP_Sales_Order_Item__c,SP0031
imax_service_contract,ESMX_Functional_Location_Excluded__c,
imax_service_contract,ESMX_Functional_Location_Included__c,LKX00003-002
imax_service_contract,ESMX_Integration_Error_Message__c,"Unable to send to ESB - IO Exception: Unable to tunnel through proxy. Proxy returns ""HTTP/1.1 503 Service Unavailable"""
imax_service_contract,ESMX_Internal_Notes__c," RESAH 2017-064 lot 90
Versailles-Coronarographie-salle de coronarographie"
imax_service_contract,ESMX_Invoice_text__c,INVOICE_TEXT_PL93
imax_service_contract,ESMX_Last_PM_Sequence__c,PM Sequence 2
imax_service_contract,ESMX_Limit_of_Usage__c,1e+18
imax_service_contract,ESMX_Location__c,a3mE0000000Xdh3IAC
imax_service_contract,ESMX_Location_Account_Number__c,0940000293
imax_service_contract,ESMX_Next_Renewal_End_Date__c,1/1/00 00:00
imax_service_contract,ESMX_Next_Renewal_Start_Date__c,1/2/00 00:00
imax_service_contract,ESMX_No_Last_PM_Text__c,
imax_service_contract,ESMX_NumOfCPPendingForOffering__c,91758
imax_service_contract,ESMX_Parts_delivery_time__c,Two Day delivery time
imax_service_contract,ESMX_Payer__c,001E000001XsBm3IAF
imax_service_contract,ESMX_Payer_Account_Number__c,0940000236
imax_service_contract,ESMX_Payment_Terms__c,ZSA1 - 30 dias fecha factura
imax_service_contract,ESMX_Payment_Terms_Country__c,Vietnam
imax_service_contract,ESMX_Plan_Sub_Type__c,POS
imax_service_contract,ESMX_Plan_Type__c,Non-Billable
imax_service_contract,ESMX_Planned_Maintenance__c,V99 - not maintained
imax_service_contract,ESMX_Planner_Notes__c,waiting info from IT
imax_service_contract,ESMX_PM_Business_Hours__c,01mE0000000XttnIAC
imax_service_contract,ESMX_PM_Template_Missing__c,1360
imax_service_contract,ESMX_Preferred_Day__c,9
imax_service_contract,ESMX_Priority_Business_Hours__c,01mE0000000IxDkIAK
imax_service_contract,ESMX_Priority_Business_Hours_2__c,01mE0000000IxDkIAK
imax_service_contract,ESMX_Priority_Business_Hours_3__c,01m0L0000004DjjQAE
imax_service_contract,ESMX_Priority_Business_Hours_4__c,01m0L000000PCXNQA4
imax_service_contract,ESMX_Priority_Business_Hours_5__c,01m4W000000Cd98QAC
imax_service_contract,ESMX_Priority_Level__c,P3
imax_service_contract,ESMX_Product_Code_Excluded__c,866471
imax_service_contract,ESMX_Product_Modality__c,WHC
imax_service_contract,ESMX_Profit_Center__c,U94
imax_service_contract,ESMX_Renewal_Term__c,96
imax_service_contract,ESMX_Renewal_Type__c,Manual Renewal
imax_service_contract,ESMX_Renewed_Contract_Renewal_Date__c,9/30/34 00:00
imax_service_contract,ESMX_ResendToSAPCount__c,879
imax_service_contract,ESMX_Risk_Sharing_Model__c,
imax_service_contract,ESMX_Sales_Deal_Pricing_Date__c,
imax_service_contract,ESMX_SAP_Billing_Block__c,09
imax_service_contract,ESMX_SAP_Billing_Plan_ID__c,94520604
imax_service_contract,ESMX_SAP_Billing_Plan_Type__c,YD
imax_service_contract,ESMX_SAP_Billing_Schedule__c,Y6
imax_service_contract,ESMX_SAP_Condition_Price__c,21707301909
imax_service_contract,ESMX_SAP_Condition_Type__c,YRMS
imax_service_contract,ESMX_SAP_Contract_Material__c,ECC-09011
imax_service_contract,ESMX_SAP_Country_Code__c,ZA
imax_service_contract,ESMX_SAP_Currency__c,ZAR
imax_service_contract,ESMX_SAP_External_ID__c,9999
imax_service_contract,ESMX_SAP_Integration_Status__c,Sent to SAP Success
imax_service_contract,ESMX_SAP_Item_Category__c,YWV3
imax_service_contract,ESMX_SAP_Line_Item_Number__c,
imax_service_contract,ESMX_SAP_Payment_Terms__c,ZSA1
imax_service_contract,ESMX_SAP_Sales_Deal_Number__c,SDUS003867
imax_service_contract,ESMX_SAP_System__c,PIL
imax_service_contract,ESMX_SAP_WBS_Element__c,SP307
imax_service_contract,ESMX_Service_Plan_Description__c, Incisive 128 Sales Order 6600566381
imax_service_contract,ESMX_Start_Date_Rule__c,Z5-Billing Date - 75 days
imax_service_contract,ESMX_Status__c,Inactive
imax_service_contract,ESMX_Total_Billing_Plan_Value__c,21707301909
imax_service_contract,ESMX_Total_Contract_Price_Currency__c,ZAR
imax_service_contract,ESMX_Total_of_Covered_Products__c,91758
imax_service_contract,ESMX_Uptime__c,99.99
imax_service_contract,ESMX_Yearly_Price__c,
imax_service_contract,Expiration_Status__c,"<img src=""/img/samples/flag_yellow.gif"" alt=""yellow"" border=""0""/>"
imax_service_contract,First_IP_Sales_Order__c,WN-3737704
imax_service_contract,Rec,
imax_service_contract,SVMXC__Activation_Notes__c,zuif
imax_service_contract,SVMXC__Billing_Schedule__c,Today's Date
imax_service_contract,SVMXC__Business_Hours__c,01mE0000000XttnIAC
imax_service_contract,SVMXC__Cancelation_Notes__c,ZUIF
imax_service_contract,SVMXC__Canceled_By__c,005E00000061PuKIAU
imax_service_contract,SVMXC__Canceled_On__c,6/6/23 10:18
imax_service_contract,SVMXC__Company__c,001E000001XsEHhIAN
imax_service_contract,SVMXC__Contact__c,003E000001aXkt2IAC
imax_service_contract,SVMXC__Contract_Price__c,
imax_service_contract,SVMXC__Contract_Price2__c,21707301909
imax_service_contract,SVMXC__Counter_Usages_Processed_Until__c,
imax_service_contract,SVMXC__Default_Group_Member__c,
imax_service_contract,SVMXC__Default_Parts_Price_Book__c,
imax_service_contract,SVMXC__Default_Service_Group__c,
imax_service_contract,SVMXC__Default_Travel_Price__c,
imax_service_contract,SVMXC__Default_Travel_Unit__c,
imax_service_contract,SVMXC__Discount__c,
imax_service_contract,SVMXC__Discounted_Price__c,
imax_service_contract,SVMXC__Discounted_Price2__c,21707301909
imax_service_contract,SVMXC__End_Date__c,1/1/00 00:00
imax_service_contract,SVMXC__EndpointURL__c,https://philipsb2bsc.my.salesforce.com/services/Soap/c/7.0/00D30000001HJhu
imax_service_contract,SVMXC__Exchange_Type__c,
imax_service_contract,SVMXC__Labor_Rounding_Type__c,Actuals
imax_service_contract,SVMXC__Minimum_Labor__c,
imax_service_contract,SVMXC__Minimum_Travel__c,
imax_service_contract,SVMXC__Primary_Technician__c,
imax_service_contract,SVMXC__Renewal_Date__c,9/30/33 00:00
imax_service_contract,SVMXC__Renewal_Notes__c, PRIX FERMES
imax_service_contract,SVMXC__Renewal_Number__c,42447061
imax_service_contract,SVMXC__Renewed_From__c,a3TE0000000bmJvMAI
imax_service_contract,SVMXC__Round_Labor_To_Nearest__c,
imax_service_contract,SVMXC__Round_Travel_To_Nearest__c,
imax_service_contract,SVMXC__Sales_Rep__c,005E00000060J0DIAU
imax_service_contract,SVMXC__Service_Contract_Notes__c,Szervizszerzodés (MR Achieva 3.0T)
imax_service_contract,SVMXC__Service_Level__c,a3aE0000000bqsZIAQ
imax_service_contract,SVMXC__Service_Plan__c,a3eE0000000x7MPIAY
imax_service_contract,SVMXC__Service_Pricebook__c,
imax_service_contract,SVMXC__SESSION_ID__c,NULL_SESSION_ID
imax_service_contract,SVMXC__SM_Expected_Margin__c,
imax_service_contract,SVMXC__Start_Date__c,1/1/00 00:00
imax_service_contract,SVMXC__Travel_Rounding_Type__c,Actuals
imax_service_contract,SVMXC__Weeks_To_Renewal__c,103209
imax_service_contract,SVMXC__Zone__c,
imax_service_contract,Total_Billing_Plan__c,30600000
ipsa_opportunity,Opportunity_Deal_Code__c,D-06140186
ipsa_opportunity,Additional_Win_Loss_Information__c,龙岩市第一医院分院，直销部门负责
ipsa_opportunity,Partner_Market__c,RCA
ipsa_opportunity,Contract_Start_Date__c,1/14/21 00:00
ipsa_opportunity,End_user_role__c,鹤壁煤业集团总医院
ipsa_opportunity,Tender_Reference_number__c,York and Scarborough Teaching
ipsa_opportunity,of_win_chance__c,2800000000
ipsa_opportunity,Opportunity_Owner_Zone__c,West Zone
ipsa_opportunity,Reason__c,Upgrade
ipsa_opportunity,Ad_Code__c,超音波201905_0116
ipsa_opportunity,Winning_Vendor_Product__c,ZS3
ipsa_opportunity,RDD_Rollup__c,11/1/77 00:00
ipsa_opportunity,Competitor__c,Zonare
ipsa_opportunity,Siebel_Unique_ID__c,6KF-RV
ipsa_opportunity,Continuum_of_Care__c,Treatment;Home Care
ipsa_opportunity,Win_Loss_Market__c,UK & Ireland
ipsa_opportunity,Product_Hierarchy__c,a55d0000001Hm0NAAS
ipsa_opportunity,Forecast_Risk_Timing__c,7 = Booked
ipsa_opportunity,Extended_warranty_value_New__c,19800768906
ipsa_opportunity,Primary_Rep__c,005d000000364VeAAI
ipsa_opportunity,Funding_Status__c,Unlikely
ipsa_opportunity,ForecastCategory_Value__c,Pipeline
ipsa_opportunity,Expiring_Contracts_End_Date__c,12/31/00 00:00
ipsa_opportunity,Related_Deal_Code_del_del_del_del_del__c,wellness center
ipsa_opportunity,Key_Contact__c,003d000002vDgbUAAS
ipsa_opportunity,Strategic_Marketing__c,Win the CIO (WTCIO)
ipsa_opportunity,Number_of_Oppty_ICUs__c,100
ipsa_opportunity,Opportunity_Owner_Region__c,Z
ipsa_opportunity,Requested_Delivery_Date__c,9/30/24 00:00
ipsa_opportunity,Regional_Svc_Mgr__c,003d000002CmSq3AAF
ipsa_opportunity,Number_of_Days_Past_Due__c,45266
ipsa_opportunity,Estimate_Amount_Input__c,
ipsa_opportunity,Outcome_Code__c,営業コンタクト中
ipsa_opportunity,Fiscal_Year_Start__c,September
ipsa_opportunity,of_Patients__c,320000000
ipsa_opportunity,Add_On_Hospital_Name__c,Women's Hospital
ipsa_opportunity,Sales_recognition_date__c,8/23/20 00:00
ipsa_opportunity,EMR_Vendor__c,Zoll
ipsa_opportunity,Target_Value_Year_2__c,430500000
ipsa_opportunity,Key_Contact_Phone__c,(973) 725-6292
ipsa_opportunity,Source_of_the_Opportunity__c,Strategy/NBD
ipsa_opportunity,LI_Market_Sub_Application__c,Underground transport
ipsa_opportunity,Radiologist_Doctor__c,003d000002TTkflAAD
ipsa_opportunity,Order_Win_Loss_Date__c,1/5/15 00:00
ipsa_opportunity,Installable__c,Yes
ipsa_opportunity,Last_Modified_By_Details__c,龙飞 闫
ipsa_opportunity,Clinical_Application_description__c,Woman's Health
ipsa_opportunity,Count_Of_Distributor_Account__c,2
ipsa_opportunity,Reason_Loss__c,Standardization
ipsa_opportunity,Radiologist_Doctor_Email__c,willoughbysurgerycenter@yahoo.com
ipsa_opportunity,Target_Year_1__c,2020
ipsa_opportunity,LSP_Deal_Board_Quip_URL__c,https://philips.quip.com/zTDWAjzc7kak
ipsa_opportunity,sofonDesktopCon__Sofon_Quote_Number__c,VO9000_295312294
ipsa_opportunity,Opportunity_Proposing_Date__c,6/6/33 00:00
ipsa_opportunity,Competitor_Price__c,1111111111
ipsa_opportunity,ICU_Beds__c,30
ipsa_opportunity,Sector__c,Personal Health
ipsa_opportunity,Opportunity_Qualified_Date__c,12/8/23 00:00
ipsa_opportunity,Contract_Signed__c,1/31/36 00:00
ipsa_opportunity,DMS_Case_Type__c,Turnkey
ipsa_opportunity,All_Win_Loss_product_lines__c,2878
ipsa_opportunity,Term_of_Contract__c,10
ipsa_opportunity,Response_Type__c,Website
ipsa_opportunity,Actual_Sale_Amount__c,17500000000
ipsa_opportunity,Implementation_Complexity__c,Integrated
ipsa_opportunity,Vendor_of_Choice__c,Won
ipsa_opportunity,EnterpriseModalityStageForecast__c,Pipeline
ipsa_opportunity,Radiologist_Doctor_Phone__c,STAFF
ipsa_opportunity,Target_Year_2__c,2022
ipsa_opportunity,Radiology_or_Dept_Admin__c,003d000002nDXKJAA4
ipsa_opportunity,Quota_Category__c,
ipsa_opportunity,Pstatus__c,P4
ipsa_account,Street1_Local__c,龚坊镇
ipsa_opportunity,Radiology_or_Dept_Admin_Phone__c,Cell-(864)642-7714
ipsa_opportunity,Logical_System_Name__c,PR4310
ipsa_opportunity,Solution_Components_Partners__c,University/Research Institute
ipsa_opportunity,Local_Competitor__c,Zondan
ipsa_opportunity,Market_for_DMS_Template__c,UKI
ipsa_opportunity,Chief_Technologist__c,003d000002TTkalAAD
ipsa_opportunity,Close_Percent__c,100
ipsa_opportunity,Lead_Funnel__c,Teleprospecting
ipsa_opportunity,GSG_Other_Program_Names__c,VA Tele-Health
ipsa_opportunity,Product_Family__c,Xcelera;Cardiology Informatics
ipsa_opportunity,Cash_Info__c,VUE Cloud
ipsa_opportunity,Prior_Stage__c,Sales Recognized
ipsa_opportunity,SR_Comments__c,黒松教授からの承認はおり、病院長の承認待ち。代理店より先行して、注文書がもらえるようになっております。
ipsa_opportunity,Related_Campaign__c,麻酔_2023
ipsa_opportunity,Expected_Contract_Award_Date__c,11/1/35 00:00
ipsa_opportunity,Opp_Eco_System_End_user_role__c,CP - Dealer
ipsa_opportunity,Classification_Industry_1__c,Wholesaler
ipsa_opportunity,EnterpriseModalityAmount__c,750000000
ipsa_opportunity,SmartPath_External_Id__c,99567620
ipsa_opportunity,Is_Refurbished_or_Not__c,Yes
ipsa_opportunity,Functional_Location__c,a8yd00000019ZXPAA2
ipsa_opportunity,Warranty_Letter_To_Email__c,willoughbysurgerycenter@yahoo.com
ipsa_opportunity,Solution_Components__c,Ultrasound;Therapeutic Care;Third Party / Out of Catalog;Customer Services;Diagnostic Imaging(DI);Image Guided Therapy(IGT);MES;Patient Care & Monitoring Solutions(PCMS)
ipsa_opportunity,LI_Market_Segment__c,
ipsa_opportunity,Fiscal_Date__c,4/1/16 00:00
ipsa_opportunity,Philips_Target_Value__c,2.23239E+11
ipsa_opportunity,User_Sales_Sub_Territory__c,West-Tokyo
ipsa_opportunity,Origin_of_Lead__c,On customer request
ipsa_opportunity,Business_Group__c,Unallocated
ipsa_opportunity,Spiff_Referred_By__c,005d0000002pMu0AAE
ipsa_opportunity,SMA_Engagement_Date__c,12/6/23 00:00
ipsa_opportunity,Data_Quality_Description__c,"Missing: Type, Next Steps"
ipsa_opportunity,Add_on_Beds__c,142
ipsa_opportunity,SMA_Contract_Line_Item_Number__c,xxxxxxxxxxxxx
ipsa_opportunity,Extended_Warranty_Value__c,2000000000
ipsa_opportunity,LI_Market_Application__c,Warehouses
ipsa_opportunity,End_user_count__c,5
ipsa_opportunity,Days_to_Order__c,723882
ipsa_opportunity,Country_Risk_Standard__c,Medium Risk
ipsa_opportunity,Target_Value_Year_1__c,950000000
ipsa_opportunity,Expected_Decision_Making_Date__c,9/30/25 00:00
ipsa_opportunity,Medical_Services__c,X-Ray
ipsa_opportunity,Business_Innovation_Unit_Master__c,Ultrasound Undivided
ipsa_opportunity,Source_Type__c,TLM
ipsa_opportunity,Specialist_Forecast_Comments__c,麻醉 60万，philips
ipsa_opportunity,RADAR_Stages__c,Radar 5
ipsa_opportunity,Install_Date_Revenue__c,12/31/14 00:00
ipsa_opportunity,DSR_Manager_Approver__c,
ipsa_opportunity,Customer_s_Method_of_Payment__c,PMC
ipsa_opportunity,Win_Loss_Detail__c,T&M
ipsa_opportunity,Response_Method__c,Win
ipsa_opportunity,SMA_Project_Completed__c,Upgrade Offered
ipsa_opportunity,Winning_Vendor_Price__c,55989160
ipsa_opportunity,Continuing_Education_Contact_Phone__c,same
ipsa_opportunity,Radiology_or_Dept_Admin_Email__c,washinc2@mskcc.org
ipsa_opportunity,Opportunity__c,1
ipsa_opportunity,New_Construction_date__c,4/30/16 00:00
ipsa_opportunity,pse__Forecast_Curve__c,
ipsa_opportunity,Region__c,a0od0000002gYikAAE
ipsa_opportunity,City__c,龙门
ipsa_opportunity,Agency__c,WMATA
ipsa_opportunity,Opportunity_Eco_System_End_User_City__c,黄石市
ipsa_opportunity,Sub_Opportunities_Total_Amounts__c,123971046143.54086
ipsa_opportunity,Modality_Forecast_Category_Text__c,
ipsa_opportunity,Owner_Role__c,陕西浩淼医宝贸易有限公司 Partner User
ipsa_opportunity,Opportunity_DSR_Amount__c,1.47264E+11
ipsa_opportunity,Proposed__c,1
ipsa_opportunity,Deal_Complexity__c,Medium
ipsa_opportunity,CIS_Vendor__c,VistA / Paper
ipsa_opportunity,Other_Contract_Line_Item_Number_s__c,Zoll X
ipsa_opportunity,Project_Execution_Risks__c,V60
ipsa_opportunity,Commercial_Product_Group_Name__c,Upgrade Computed Tomography
ipsa_opportunity,SAP_Number__c,
ipsa_opportunity,Local_Opportunity_Id__c,US-999
ipsa_opportunity,Postal_Code__c,邯郸市临漳县西关
ipsa_opportunity,Target_Year_3__c,2021
